Creating model...
2025-11-13 02:22:52 - feat_dataset.py - [32mINFO[0m : [32mSelected slice encoder models: ['dinov2', 'rad-dino', 'medsiglip', 'biomedclip', 'ark'][0m
2025-11-13 02:22:52 - feat_dataset.py - [32mINFO[0m : [32mSelected view planes: ['sagittal'][0m
/rwthfs/rz/cluster/home/qj474765/master_thesis/MedSliM/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(                     
MedSliM Pre-training...:   6%|▌         | 29/500 [01:20<13:36,  1.73s/it] 
batch_size_per_device=128
                                             
Epoch 422; loss: 0.9509; lr: 0.00002
Epoch 423; loss: 0.9588; lr: 0.00002
Epoch 424; loss: 0.9480; lr: 0.00002
Epoch 425; loss: 0.9467; lr: 0.00002
Epoch 426; loss: 0.9493; lr: 0.00002
Epoch 427; loss: 0.9524; lr: 0.00002
Epoch 428; loss: 0.9463; lr: 0.00002
Epoch 429; loss: 0.9562; lr: 0.00002
Epoch 430; loss: 0.9529; lr: 0.00001
Epoch 431; loss: 0.9419; lr: 0.00001
Epoch 432; loss: 0.9568; lr: 0.00001
Epoch 433; loss: 0.9467; lr: 0.00001
Epoch 434; loss: 0.9445; lr: 0.00001
Epoch 435; loss: 0.9439; lr: 0.00001
Epoch 436; loss: 0.9378; lr: 0.00001
Epoch 437; loss: 0.9424; lr: 0.00001
Epoch 438; loss: 0.9454; lr: 0.00001
Epoch 439; loss: 0.9471; lr: 0.00001
Epoch 440; loss: 0.9493; lr: 0.00001
Epoch 441; loss: 0.9437; lr: 0.00001
Epoch 442; loss: 0.9504; lr: 0.00001
Epoch 443; loss: 0.9450; lr: 0.00001
Epoch 444; loss: 0.9505; lr: 0.00001
Epoch 445; loss: 0.9514; lr: 0.00001
Epoch 446; loss: 0.9607; lr: 0.00001
Epoch 447; loss: 0.9383; lr: 0.00001
Epoch 448; loss: 0.9352; lr: 0.00001
Epoch 449; loss: 0.9426; lr: 0.00001
Epoch 450; loss: 0.9405; lr: 0.00001
Epoch 451; loss: 0.9480; lr: 0.00001
Epoch 452; loss: 0.9463; lr: 0.00001
Epoch 453; loss: 0.9555; lr: 0.00001
Epoch 454; loss: 0.9492; lr: 0.00001
Epoch 455; loss: 0.9418; lr: 0.00001
Epoch 456; loss: 0.9548; lr: 0.00001
Epoch 457; loss: 0.9373; lr: 0.00001
Epoch 458; loss: 0.9432; lr: 0.00001
Epoch 459; loss: 0.9487; lr: 0.00001
Epoch 460; loss: 0.9442; lr: 0.00000
Epoch 461; loss: 0.9430; lr: 0.00000
Epoch 462; loss: 0.9440; lr: 0.00000
Epoch 463; loss: 0.9466; lr: 0.00000
Epoch 464; loss: 0.9417; lr: 0.00000
Epoch 465; loss: 0.9421; lr: 0.00000
Epoch 466; loss: 0.9422; lr: 0.00000
Epoch 467; loss: 0.9492; lr: 0.00000
Epoch 468; loss: 0.9472; lr: 0.00000
Epoch 469; loss: 0.9445; lr: 0.00000
Epoch 470; loss: 0.9494; lr: 0.00000
Epoch 471; loss: 0.9394; lr: 0.00000
Epoch 472; loss: 0.9442; lr: 0.00000
Epoch 473; loss: 0.9462; lr: 0.00000
Epoch 474; loss: 0.9407; lr: 0.00000
Epoch 475; loss: 0.9402; lr: 0.00000
Epoch 476; loss: 0.9467; lr: 0.00000
Epoch 477; loss: 0.9446; lr: 0.00000
Epoch 478; loss: 0.9427; lr: 0.00000
Epoch 479; loss: 0.9362; lr: 0.00000
Epoch 480; loss: 0.9458; lr: 0.00000
Epoch 481; loss: 0.9455; lr: 0.00000
Epoch 482; loss: 0.9394; lr: 0.00000
Epoch 483; loss: 0.9416; lr: 0.00000
Epoch 484; loss: 0.9429; lr: 0.00000
Epoch 485; loss: 0.9339; lr: 0.00000
Epoch 486; loss: 0.9484; lr: 0.00000
Epoch 487; loss: 0.9399; lr: 0.00000
Epoch 488; loss: 0.9368; lr: 0.00000
Epoch 489; loss: 0.9347; lr: 0.00000
Epoch 490; loss: 0.9397; lr: 0.00000
Epoch 491; loss: 0.9474; lr: 0.00000
Epoch 492; loss: 0.9433; lr: 0.00000
Epoch 493; loss: 0.9374; lr: 0.00000
Epoch 494; loss: 0.9365; lr: 0.00000
Epoch 495; loss: 0.9445; lr: 0.00000
Epoch 496; loss: 0.9471; lr: 0.00000
